Cote;CB;Type;Titre;SousTitre;AuteurNom;AuteurPrénom;AuteurAutre;Date;Langue;600;600;600;600;;601$a;;606$a;606$a;;607$a;;300$a;330$a
MEM BIG;23053936;16;It's raining books;;Bigourie;Marine;Tuteur de mémoire : Jérôme Saint-Loubert Bié;2017;fre;;;;;;Haute école des arts du Rhin;;Édition;;;;;Mémoire de DNSEP option Communication, atelier de communication graphique. Mémoire daté 2016, pour diplôme 2017.;
MEM PEN;2305498X;16;La mécanique des pierres;;Peny;Pierre-Louis;Mémoire dirigé par Jean-François Gavoty;2017;fre;;;;;;Haute école des arts du Rhin;;marbre;Cartographie;;;;Mémoire DNSEP Art Objet;
MEM LAM;23054991;16;Point de vue sur expériences;;Lamy;Léa;Mémoire dirigé par Jean-François Gavoty;2017;fre;;;;;;Haute école des arts du Rhin;;Galeries d'art;;;;;Mémoire DNSEP Art Objet;
MEM MOL;23055003;16;S'il pleut des pierres;;Mollard;Charlotte;Mémoire dirigé par Jean-François Gavoty;2017;fre;;;;;;Haute école des arts du Rhin;;;;;;;Mémoire DNSEP Art Objet;
MEM HUB;23055015;16;[palmette-couronée];;Hubert;Etienne;Mémoire dirigé par Jean-François Gavoty;2017;fre;;;;;;Haute école des arts du Rhin;;Marqueterie;;;;;Mémoire DNSEP Art Objet;
MEM LEA;23055040;16;/ / Biomes . numériques;;Léal;Sylvain;Mémoire dirigé par Cyrille Bret;2017;fre;;;;;;Haute école des arts du Rhin;;Biomes;Ordinateurs;Langages de programmation;;;Mémoire DNSEP Art, No Name;
MEM COL;23055052;16;L'île est dans notre tête;;Colrat;Héloïse;Mémoire dirigé par Cyrille Bret;2017;fre;;;;;;Haute école des arts du Rhin;;Narration;;;;;Mémoire DNSEP Art Objet;
MEM GRE;23055064;16;Tous se tachèrent de brun et finirent par s'éteindre;;Grenois;Elise;Mémoire dirigé par Jean-François Gavoty;2017;fre;;;;;;Haute école des arts du Rhin;;Fermentation;Mort (biologie);;;;Mémoire DNSEP Art Objet;
MEM BOI;23055076;16;De la ligne aux bijoux;;Boisserie;Roxane;Mémoire dirigé par Jean-François Gavoty;2017;fre;;;;;;Haute école des arts du Rhin;;Bijoux;;;;;Mémoire DNSEP Art Objet;
MEM ACH;23055129;16;Partir depuis toujours;;Achkar;Charlotte;Mémoire dirigé par Jean-François Gavoty;2017;fre;;;;;;Haute école des arts du Rhin;;Liban;Identité collective;;;;Mémoire DNSEP Art Objet;
MEM LEV;23055130;16;du film étirable .;;Lévy;Martin B.;Mémoire dirigé par Anne Laforêt;2017;fre;;;;;;Haute école des arts du Rhin;;Films;Appropriation (art);;;;Mémoire DNSEP Art, Hors Format;
MEM MAN;23055142;16;Insulaire;;Mansard;Amélie;Mémoire dirigé par Sandrine Israël-Jost;2017;fre;Parr, Martin1952-....;Banier, François-Marie(1947-....);Bialobrzeski, Peter(1961-....);Tillmans, Wolfgang(1968-....);;Haute école des arts du Rhin;;Art et morale;;;;;Mémoire DNSEP Art, No Name;
MEM CHR;23055154;16;Déjà-vu;;Chrétien;Léa;Mémoire dirigé par Anne Laforêt;2017;fre;;;;;;Haute école des arts du Rhin;;Cinéma;Projection à la lanterne;;;;Mémoire DNSEP Art, Hors Format;
MEM ROB;23055166;16;Au détour d'un glacier;;Robineau;Adèle;Mémoire dirigé par Anne Bertrand;2017;fre;Olafur Eliasson(1967-....);Horn, Roni(1955-....);;;;Haute école des arts du Rhin;;Nature;;;;;Mémoire DNSEP Art, Peintures;
