Cote;CB;Type;Titre;SousTitre;AuteurNom;AuteurPrénom;AuteurAutre;Date;Langue;600;;601$a;;606$a;606$a;606$a;607$a;300$a;330$a
C1987-TAR1;2305572X;K7A;Image et significations;;Tardy;Michel;;1987;fre;;;;;Illustrations, images, etc.;;;;Conférence de Michel Tardy à l'ESAD Strasbourg le 10 février 1987.;
C1987-TAR2;23055706;K7A;Image et significations;;Tardy;Michel;;1987;fre;;;;;Illustrations, images, etc.;;;;Conférence de Michel Tardy à l'ESAD Strasbourg le 10 février 1987.;
C1987-TAR3;23055755;K7A;Image et significations;;Tardy;Michel;;1987;fre;;;;;Illustrations, images, etc.;;;;Conférence de Michel Tardy à l'ESAD Strasbourg le 10 février 1987.;
C1988 - FAB1;23063146;ADV;[Conférence Eric Fabre];;Fabre;Eric;;1988;fre;;;;;;;;;Conférence donnée le 2 mars 1988 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg;
C1988 - FAB2;23063110;ADV;[Conférence Eric Fabre];;Fabre;Eric;;1988;fre;;;;;;;;;Conférence donnée le 2 mars 1988 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg;
C1988 - SAR1;23063134;ADV;Boltanski par Sarkis;;Sarkis;;;1988;fre;Boltanski, Christian;;;;;;;;Conférence donnée le 16 mars 1988 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg;
C1988 - SAR2;23062357;ADV;Boltanski par Sarkis;;Sarkis;;;1988;fre;Boltanski, Christian;;;;;;;;Conférence donnée le 16 mars 1988 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg;
C1988-CHA1;23055731;K7A;Après John Cage: la poétique des musiques d'aujourd'hui;;Charles;Daniel;;1988;fre;Cage, John(1912-1992);;;;;;;;"Conférence Après John Cage: la poétique des musiques d'aujourd'hui"" de Daniel Charles à l'Ecole des Arts Décoratifs de Strasbourg le 19 octobre 1988. ""C'est à John Cage qu'il faut remonter si l'on souhaite comprendre autrement que de façon académique et/ou caricaturale le devenir actuel de la poétique musicale."" En collaboration avec le Centre de formation de musiciens intervenants (Sélestat).""";
C1988-CHA2;23055718;K7A;Après John Cage: la poétique des musiques d'aujourd'hui;;Charles;Daniel;;1988;fre;Cage, John(1912-1992);;;;;;;;"Conférence Après John Cage: la poétique des musiques d'aujourd'hui"" de Daniel Charles à l'Ecole des Arts Décoratifs de Strasbourg le 19 octobre 1988. ""C'est à John Cage qu'il faut remonter si l'on souhaite comprendre autrement que de façon académique et/ou caricaturale le devenir actuel de la poétique musicale."" En collaboration avec le Centre de formation de musiciens intervenants (Sélestat).""";
C1988-GER;23054010;K7A;Mon style est ma biographie. A propos de mon travail.;;Gerz;Jochen;;1988;fre;Gerz, Jochen : Thèmes, motifs(1940-....);;;;;;;;"Conférence de Jochen Gerz à l'ESAD Strasbourg le 26 octobre 1988. Cette conférence s'inscrit également dans un travail en atelier avec les étudiants du Groupe art"".""";
C1988-GIR;23054022;K7A;Conférence Objet;;Girel;Alain;;1988;fre;;;;;;;;;Conférence de Alain Girel à l'ESAD Strasbourg le 20 avril 1988.;
C1988-HEN;23054112;K7A;Le Livre de collection;;Hende;Yves;;1988;fre;;;;;;;;;Conférence de Yves Hende à l'ESAD Strasbourg le 16 novembre 1988.;
C1988-OWE1;23054095;K7A;[Conférence];;Owen;Robert;;1988;fre;;;;;;;;;"Conférence de Robert Owen artiste australien"" à l'ESAD Strasbourg le 16 novembre 1988.""";
C1988-OWE2;23359851;K7A;[Conférence];;Owen;Robert;;1988;fre;;;;;;;;;"Conférence de Robert Owen artiste australien"" à l'ESAD Strasbourg le 16 novembre 1988.""";
C1988-REC1;2305406X;K7A;Modernité;;Recht;Roland;;1988;fre;;;;;;;;;Conférence de R. Recht à l'Ecole des Arts Décoratifs de Strasbourg le 18 mai 1988.;
C1988-REC2;23054058;K7A;Modernité;;Recht;Roland;;1988;fre;;;;;;;;;Conférence de R. Recht à l'Ecole des Arts Décoratifs de Strasbourg le 18 mai 1988.;
C1988-RIN1;23054083;K7A;De passage;;Rinke;Klaus;;1988;fre;;;;;;;;;Conférence de Klaus Rinke à l'ESAD Strasbourg le 23 novembre 1988.;
C1988-RIN2;23054071;K7A;De passage;;Rinke;Klaus;;1988;fre;;;;;;;;;Conférence de Klaus Rinke à l'ESAD Strasbourg le 23 novembre 1988.;
C1988-STE;23054034;K7A;Histoire du verre;;Stengen;;;1988;fre;;;;;;;;;Conférence de Stengen à l'ESAD Strasbourg le 26 avril 1988.;
C1989-BAR;23055690;K7A;Le cubisme et Gertrude Stein;;Bartlett Haas;Robert;;1989;fre;Stein, Gertrude(1874-1946);;;;Cubisme;;;;"Conférence Le cubisme et Gertrude Stein"" de Robert Bartlett Haas à l'Ecole des Arts Décoratifs de Strasbourg le 1er février 1989.""";
C1989-BLI1;23051487;K7A;Présentation de différentes qualités, utilisations des papiers;;Blindermann;Jacques;;1989;fre;;;;;Papier;;;;"Conférence Présentation de différentes qualités, utilisations des papiers"" de Jacques Blindermann, représentant les Papeteries Canson le mercredi 18 octobre 1989 à 14h30.""";
C1989-BLI2;23051475;K7A;Présentation de différentes qualités, utilisations des papiers;;Blindermann;Jacques;;1989;fre;;;;;Papier;;;;"Conférence Présentation de différentes qualités, utilisations des papiers"" de Jacques Blindermann, représentant les Papeteries Canson le mercredi 18 octobre 1989 à 14h30.""";
C1989-DOR1;23051504;K7A;La photographie multiple;;Dorner;Jean-Baptiste;;1989;fre;;;;;photographie;;;;"Conférence La photographie multiple"" de Jean-Baptiste Dorner le 1er mars 1989 à 14h30. Etude de la série, séquence ou mosaïque photographique dans sa présentation et son application. Trois parties distinctes: étude historique de 1839 à 1989, étude mécanique (typologie, sémantique), présentation d'?uvres contemporaines.""";
C1989-DOR2;23051499;K7A;La photographie multiple;;Dorner;Jean-Baptiste;;1989;fre;;;;;photographie;;;;"Conférence La photographie multiple"" de Jean-Baptiste Dorner le 1er mars 1989 à 14h30. Etude de la série, séquence ou mosaïque photographique dans sa présentation et son application. Trois parties distinctes: étude historique de 1839 à 1989, étude mécanique (typologie, sémantique), présentation d'?uvres contemporaines.""";
C1989-GAM;23055677;K7A;L'école d'illustration médicale de Bologne;;Gamberini;Giliola;;1989;fre;;;;;Illustration médicale;;;;"Conférence L'école d'illustration médicale de Bologne"" de Giliola Gamberini à l'Ecole des Arts Décoratifs de Strasbourg le 22 février 1989. ""L'Université de Bologne est la plus vieille université européenne et possède une longue tradition d'illustration médicale, puisque les premiers documents datent de l'an 1000."" (Source: Rapport d'activité 88/89)""";
C1989-POU;23055689;K7A;Ambiguité du langage de l'image;;Poulet-Mathis;François;;1989;fre;;;;;Illustrations, images, etc.;;;;"Conférence Ambiguité du langage de l'image"" de François Poulet-Mathis à l'Ecole des Arts Décoratifs de Strasbourg le 18 janvier 1989. ""Au travers de documents audio-visuels d'actualité, le propos est de montrer comment les images peuvent rarement être exploitées seules et nécessitent le recours au texte."" (Source: Rapport d'activité 88/89)""";
C1990-DUB;23051463;K7A;[Conférence de Sylvain Dubuisson, Créateur d'objets];;Dubuisson;Sylvain;;1989;fre;;;;;Design;;;;"Conférence de Sylvain Dubuisson le 17 janvier 1990 à 18h. Souvent analysés, critiqués, décortiqués, les fragments d'absolu qu'il nous livre au compte-gouttes comme s'il sculptait avec ses objets une ?uvre entière que l'on ne comprendra qu'à la fin"" (Atelier des métiers d'art, juillet 1989). Présentation de son travail.""";
C1990-JUR;23051451;K7A;Ecriture et cerveau;;Jurdant;Baudouin;;1990;fre;;;;;Écriture;;;;"Conférence de Baudouin Jurdant, maître de conférences à l'Université Louis Pasteur"", le mercredi 9 mai 1990 à 17h. ""Tout système d'écriture a pour but d'offrir une représentation visuelle de la langue parlée. Les signes qui, dans le cadre de la tradition orale, ne peuvent s'appréhender que par voie acoustique, sollicitent notre temps de la vision. Comment le cerveau humain reçoit-il cette nouvelle modalité de présentation des signes linguistiques? Les différentes écritures ont-elles chacune un impact cognitif propre? Que peuvent nous apprendre les pathologies de la lecture sur le traitement cortical des signes de l'écriture? Telles sont les questions auxquelles cette conférence tentera d'esquisser des réponses."" (Source: Rapport 1989/1990)""";
C1991 - BEU1;23063081;ADV;Visages de Beuys;"Organisé dans le cadre de la manifestation Joseph Beuys, une collection vidéo"" organisée par Vidéo les Beaux Jours""";Block;René;;1991;fre;Beuys, Joseph (1921-1986);;;;;;;;"A partir des films qui retracent actions, discours et entretiens de Joseph Beuys, véritables archives visuelles de son itinéraire, il semble possible de poser la question du statut de ces reliques spirituelles que sont toutes choses laissées derrière lui, par lui, objets-témoins toujours ré-interprétables dans leur destination. Enregistrement des interventions lors du colloque Visages de Beuys"" qui s'est tenu le 20 novembre 1991 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg.""";
C1991 - BEU2;23063056;ADV;Visages de Beuys;"Organisé dans le cadre de la manifestation Joseph Beuys, une collection vidéo"" organisée par Vidéo les Beaux Jours""";Block;René;;1991;fre;Beuys, Joseph (1921-1986);;;;;;;;"A partir des films qui retracent actions, discours et entretiens de Joseph Beuys, véritables archives visuelles de son itinéraire, il semble possible de poser la question du statut de ces reliques spirituelles que sont toutes choses laissées derrière lui, par lui, objets-témoins toujours ré-interprétables dans leur destination. Enregistrement des interventions lors du colloque Visages de Beuys"" qui s'est tenu le 20 novembre 1991 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg.""";
