Cote;ISBD;Note1;;Note2;Indexation 600;Indexation 606;;;
*C1987-TAR1*;Image et significations [enregistrement audio] / Michel Tardy. - Strasbourg : HEAR, 1987. - 3 cassettes audio;Conférence de Michel Tardy à l'ESAD Strasbourg le 10 février 1987.;;Fichier numérisé disponible.;;Illustrations, images, etc.;;;
*C1987-TAR2*;Image et significations [enregistrement audio] / Michel Tardy. - Strasbourg : HEAR, 1987. - 3 cassettes audio;Conférence de Michel Tardy à l'ESAD Strasbourg le 10 février 1987.;;Fichier numérisé disponible.;;Illustrations, images, etc.;;;
*C1987-TAR3*;Image et significations [enregistrement audio] / Michel Tardy. - Strasbourg : HEAR, 1987. - 3 cassettes audio;Conférence de Michel Tardy à l'ESAD Strasbourg le 10 février 1987.;;Fichier numérisé disponible.;;Illustrations, images, etc.;;;
*C1988 - FAB1*;[Conférence Eric Fabre] [enregistrement sonore] / Eric Fabre. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1988. - 2 cassettes audio;Conférence donnée le 2 mars 1988 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg;;Fichier numérisé disponible.;;;;;
*C1988 - FAB2*;[Conférence Eric Fabre] [enregistrement sonore] / Eric Fabre. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1988. - 2 cassettes audio;Conférence donnée le 2 mars 1988 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg;;Fichier numérisé disponible.;;;;;
*C1988 - SAR1*;Boltanski par Sarkis [enregistrement sonore] / Sarkis. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1988. - 2 cassettes audio;Conférence donnée le 16 mars 1988 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg;;Fichier numérisé disponible.;Boltanski;;;;
*C1988 - SAR2*;Boltanski par Sarkis [enregistrement sonore] / Sarkis. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1988. - 2 cassettes audio;Conférence donnée le 16 mars 1988 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg;;Fichier numérisé disponible.;Boltanski;;;;
*C1988-CHA1*;Après John Cage: la poétique des musiques d'aujourd'hui [enregistrement audio] / Daniel Charles. - Strasbourg : Ecole des Arts Décoratifs de Strasbourg, 1988. - 2 cassettes audio;"Conférence ""Après John Cage: la poétique des musiques d'aujourd'hui"" de Daniel Charles à l'Ecole des Arts Décoratifs de Strasbourg le 19 octobre 1988. ""C'est à John Cage qu'il faut remonter si l'on souhaite comprendre autrement que de façon académique et/ou caricaturale le devenir actuel de la poétique musicale."" En collaboration avec le Centre de formation de musiciens intervenants (Sélestat).";;Fichier numérisé disponible.;Cage;;;;
*C1988-CHA2*;Après John Cage: la poétique des musiques d'aujourd'hui [enregistrement audio] / Daniel Charles. - Strasbourg : Ecole des Arts Décoratifs de Strasbourg, 1988. - 2 cassettes audio;"Conférence ""Après John Cage: la poétique des musiques d'aujourd'hui"" de Daniel Charles à l'Ecole des Arts Décoratifs de Strasbourg le 19 octobre 1988. ""C'est à John Cage qu'il faut remonter si l'on souhaite comprendre autrement que de façon académique et/ou caricaturale le devenir actuel de la poétique musicale."" En collaboration avec le Centre de formation de musiciens intervenants (Sélestat).";;Fichier numérisé disponible.;Cage;;;;
*C1988-GER*;Mon style est ma biographie. A propos de mon travail. [enregistrement audio] / Jochen Gerz. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1988. - 1 cassette audio;"Conférence de Jochen Gerz à l'ESAD Strasbourg le 26 octobre 1988. ""Cette conférence s'inscrit également dans un travail en atelier avec les étudiants du Groupe art"".";;Fichier numérisé disponible.;Gerz;;;;
